Location,Address,FullAddress,Longitude,Latitude,Meal Times,Dates of Service,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-13,2025-06-14,2025-06-15,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-21,2025-06-22,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-18,2025-07-19,2025-07-20,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25
Easton Newberry Sports Complex,"24880 NW 16th Avenue, Newberry","24880 NW 16th Ave, Newberry, FL, 32669, USA",-82.60405,29.66904,"B (8:00-8:30), L (11:00-11:30)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25",08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30
First Missionary Baptist Church,"1515 SE 15th Street, Gainesville","1515 SE 15th St, Gainesville, FL, 32641, USA",-82.30548,29.63673,"B (7:45-8:15), L (12:00-12:30)","06/09/25-07/11/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25",07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,,,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,,,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,,,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,,,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,,,,,,,,,,,,,,
Freddie Warmack Park,"24505 Newberry Lane, Newberry","24505 Newberry Ln, Newberry, FL, 32669, USA",-82.60196,29.65369,B (8:25-8:55) L (11:30-12:00),"06/09/25-06/10/25 (M&T); 06/16/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25. No lunch service on 06/10/25 and on Fridays.",08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55
Gainesville High School,"1900 NW 13th Street, Gainesville","1900 NW 13th St, Gainesville, FL, 32609, USA",-82.34005,29.66956,"B (8:00-9:00), L (11:15-12:00)","06/09/25-07/22/25 (M-TH) Closed 06/19/25 and 07/03/25, Open Friday 06/20/25",08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,,,,08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,,,08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,,,,08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,,,,08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,,,,08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,,,,08:00-09:00;11:15-12:00,08:00-09:00;11:15-12:00,,,
Girls Place,"2101 NW 39th Avenue, Gainesville","2101 NW 39th Ave, Gainesville, FL, 32605, USA",-82.35114,29.68773,"L (11:30-12:00), LS (3:00-3:30)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25",11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,,,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,,,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,,,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,,,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,,,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,,,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30,11:30-12:00;03:00-03:30
Glen Springs Elementary,"2826 NW 31st Avenue, Gainesville","2826 NW 31st Ave, Gainesville, FL, 32605, USA",-82.36476,29.6824,"B (7:30-8:30), L (11:30-12:00)",06/09/25-07/18/25 (M-F) Closed 07/04/25,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,,,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,,,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,,,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,,,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,,,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,07:30-08:30;11:30-12:00,,,,,,,
Hawthorne Academy,"22000 SE 65th Avenue, Hawthorne","22000 SE 65th Ave, Hawthorne, FL, 32640, USA",-82.08803,29.59466,"B (8:00-8:30), L (11:15-11:35)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25",08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,,,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,,,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,,,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,,,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,,,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,,,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35,08:00-08:30;11:15-11:35
Hawthorne High,"21403 SE 69th Avenue, Hawthorne","21403 SE 69th Ave, Hawthorne, FL, 32640, USA",-82.09383,29.58967,"B (8:30-8:50), L (12:00-12:20)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25",08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,,,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,,,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,,,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,,,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,,,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,,,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20,08:30-08:50;12:00-12:20
Hidden Oak Elementary,2100 Fort Clarke Blvd. Gainesville,"2100 Fort Clarke Blvd, Gainesville, FL, 32606, USA",-82.44055,29.67149,"B (7:30-8:00), L (11:00-11:30)",06/09/25-07/18/25 (M-F) Closed 07/04/25,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,,,,,
High Springs Community School,"19559 High Springs Main Street, High Springs","19559 High Springs Main St, High Springs, FL, 32643, USA",-82.59042,29.8344,"B (7:30-8:00), L (11:00-12:00)",06/9/25-07/18/25 (M-F) Closed 07/04/25,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,,,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,,,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,,,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,,,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,,,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,07:30-08:00;11:00-12:00,,,,,,,
Horizon Center,"2802 NE 8th Avenue, Gainesville","2802 NE 8th Ave, Gainesville, FL, 32641, USA",-82.28846,29.65977,"SPIKE EVENT G&G (10:30-12:30), B (8:15-8:45), L (11:15-11:45)","06/05/25 (TH); 06/09/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25",10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45,10:30-12:30;08:15-08:45;11:15-11:45
Irby Elementary,"13505 NW 140th Street, Alachua","13505 NW 140th St, Alachua, FL, 32615, USA",-82.49302,29.77943,"B (7:30-8:10), L (11:00-12:10)","06/09/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25",07:30-08:10;11:00-12:10,07:30-08:10;11:00-12:10,07:30-08:10;11:00-12:10,07:30-08:10;11:00-12:10,,,,07:30-08:10;11:00-12:10,07:30-08:10;11:00-12:10,07:30-08:10;11:00-12:10,07:30-08:10;11:00-12:10,07:30-08:10;11:00-12:10,,,07:30-08:10;11:00-12:10,07:30-08:10;11:00-12:10,07:30-08:10;11:00-12:10,07:30-08:10;11:00-12:10,,,,07:30-08:10;11:00-12:10,07:30-08:10;11:00-12:10,07:30-08:10;11:00-12:10,,,,,,,,,,,,,,,,,,,,,,,
Kanapaha Middle,"5005 SW 75th Street, Gainesville","5005 SW 75th St, Gainesville, FL, 32608, USA",-82.42083,29.60762,"B (8:00-8:30), L (11:00-11:30)","06/09/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25",08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,,,,,,,,,,,,,,,,,,,,,
Lanier Center,"312 NW 16th Avenue, Gainesville","312 NW 16th Ave, Gainesville, FL, 32601, USA",-82.32772,29.66708,"B (8:30-9:00), L (11:00-11:30)","06/09/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25",08:30-09:00;11:00-11:30,08:30-09:00;11:00-11:30,08:30-09:00;11:00-11:30,08:30-09:00;11:00-11:30,,,,08:30-09:00;11:00-11:30,08:30-09:00;11:00-11:30,08:30-09:00;11:00-11:30,08:30-09:00;11:00-11:30,08:30-09:00;11:00-11:30,,,08:30-09:00;11:00-11:30,08:30-09:00;11:00-11:30,08:30-09:00;11:00-11:30,08:30-09:00;11:00-11:30,,,,08:30-09:00;11:00-11:30,08:30-09:00;11:00-11:30,08:30-09:00;11:00-11:30,,,,,,,,,,,,,,,,,,,,,,,
Legacy Park Multipurpose Center,"15400 Peggy Road, Alachua","15400 Peggy Rd, Alachua, FL, 32615, USA",-82.50801,29.78498,"B (9:30-10:00), L (12:30-1:00)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 06/30/25-07/04/25",09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,,,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,,,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,,,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,,,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,,,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,,,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00,09:30-10:00;12:30-01:00
Lewis Place Apartments,"4121 NE 15th Street, Gainesville","4121 NE 15th St, Gainesville, FL, 32609, USA",-82.30537,29.6911,"B (8:30-9:00), L (12:00-12:30)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25",08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,,,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,,,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,,,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,,,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,,,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,,,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30,08:30-09:00;12:00-12:30
Library Partnership #2,"912 NE 16th Avenue, Gainesville","912 NE 16th Ave, Gainesville, FL, 32601, USA",-82.31442,29.66693,"B (9:30-10:00), L (12:00-12:30)","06/09/25-07/24/25 (M-TH) Closed all day on 06/19/25; 06/30/25-07/03/25. Closed for lunch 6/12, 6/23, 6/26, 7/15, 7/17, and 7/21",09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,,,,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,,,,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,,,,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,,,,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,,,,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,,,,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,09:30-10:00;12:00-12:30,
Lincoln Middle,"1001 SE 12th Street, Gainesville","1001 SE 12th St, Gainesville, FL, 32641, USA",-82.30868,29.64218,"B (8:45-9:00), L (12:00-12:15)","06/9/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25",08:45-09:00;12:00-12:15,08:45-09:00;12:00-12:15,08:45-09:00;12:00-12:15,08:45-09:00;12:00-12:15,,,,08:45-09:00;12:00-12:15,08:45-09:00;12:00-12:15,08:45-09:00;12:00-12:15,08:45-09:00;12:00-12:15,08:45-09:00;12:00-12:15,,,08:45-09:00;12:00-12:15,08:45-09:00;12:00-12:15,08:45-09:00;12:00-12:15,08:45-09:00;12:00-12:15,,,,08:45-09:00;12:00-12:15,08:45-09:00;12:00-12:15,08:45-09:00;12:00-12:15,,,,,,,,,,,,,,,,,,,,,,,
Loften Center,"3000 East University Avenue, Gainesville","3000 E University Ave, Gainesville, FL, 32641, USA",-82.28581,29.65518,"B (8:30-9:00), L (11:30-12:00)","06/09/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25",08:30-09:00;11:30-12:00,08:30-09:00;11:30-12:00,08:30-09:00;11:30-12:00,08:30-09:00;11:30-12:00,,,,08:30-09:00;11:30-12:00,08:30-09:00;11:30-12:00,08:30-09:00;11:30-12:00,08:30-09:00;11:30-12:00,08:30-09:00;11:30-12:00,,,08:30-09:00;11:30-12:00,08:30-09:00;11:30-12:00,08:30-09:00;11:30-12:00,08:30-09:00;11:30-12:00,,,,08:30-09:00;11:30-12:00,08:30-09:00;11:30-12:00,08:30-09:00;11:30-12:00,,,,,,,,,,,,,,,,,,,,,,,
Majestic Oaks Apartments,"5800 SW 20th Avenue, Gainesville","5800 SW 20th Ave, Gainesville, FL, 32607, USA",-82.40511,29.64086,"L (12:30-1:00), LS (3:00-3:30)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25",12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,,,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,,,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,,,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,,,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,,,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,,,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30,12:30-01:00;03:00-03:30
Meadowbrook Elementary,"11525 NW 39th Avenue, Gainesville","11525 NW 39th Ave, Gainesville, FL, 32606, USA",-82.46221,29.68785,"B (7:30-8:00), L (11:00-11:30)",06/09/25-07/18/25 (M-F) Closed 07/04/25,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,,,,,
